,name,weight,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Retinol,¥â-Carotene,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,VitaminD,Linoleic Acid,Alpha-Linolenic Acid,breakfast1,breakfast2,breakfast3,snack1,snack2,snack3,snack4,rice,special,soup,kimchi,special_soup_needed,special_soup_notneeded,vegitable_soup,nonvegitable_soup,possible_with_special,morning_soup_comb1,morning_soup_comb2,morning_soup_comb3,side_dish1,side_dish2,empty,rice_type1,rice_type2,rice_type3,rice_type4,rice_type5,rice_type6,rice_type7,rice_type8,rice_type9,rice_type10,rice_type11,rice_type12,rice_type13,rice_type14,rice_type15,rice_type16,rice_type17,rice_type18,rice_type19,rice_type20,rice_type21,rice_type22,rice_type23,rice_type24,¹Ð,½Ò,¸Þ¹Ð,°¨ÀÚ,´ëµÎ,¶¥Äá,È£µÎ,Àã,¹ã,¾Æ¸óµå,ÇìÁñ³Ó,Ä³½´³Ó,ÇÇÄ­,ÇÇ½ºÅ¸Ä¡¿À,µé±ú,Âü±ú,¾¾¾Ñ,µÅÁö,¿À¸®,´ß,±âÅ¸°¡±Ý·ù,¼Ò,³­·ù,¿ìÀ¯,ºÓÀº»ì»ý¼±,Èò»ì»ý¼±,±âÅ¸,Àå¾î,¸êÄ¡,°Ô,»õ¿ì,°¡Àç,"Á¶°³,²¿¸·",±¼,"È«ÇÕ,´ãÄ¡",¿ÀÂ¡¾î,¹®¾î,³«Áö,°íµÕ,¼Ò¶ó,Àüº¹,¿ÀÀÌ,¸¶´Ã,»ø·¯¸®,´ç±Ù,ºê·ÎÄÝ¸®,¾çÆÄ,°ÜÀÚ,ÈÄÃß,Åä¸¶Åä,Ã¼¸®,ÀÚµÎ,Å°À§,¹Ù³ª³ª,»ç°ú,¹è,ÄÚÄÚ³Ó,º¹¼þ¾Æ,¸Þ·Ð,¼ö¹Ú,½ÃÆ®·¯½º,¸Á°í,¾ÆÈ²»ê·ù,¿¬Áß,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù
20,B½Ò¾¾¸®¾ó(30g),30,117,1.995,0.504,26.097,0.57,77.7,5.625,187.5,362.4,0,362.4,1.0281,0.4191,50.988,14.568,257.772,13.761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,B¾¾¸®¾ó(30g),30,113.4,1.533,0.177,26.415,0.75,0.9,2.688,130.2,726.9,28.8,729.3,1.5207,0.798,60.378,1.203,81.606,5.466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,B¿Á¼ö¼ö¾¾¸®¾ó(30g),30,113.4,1.533,0.177,26.415,0.75,0.9,2.688,130.2,726.9,28.8,729.3,1.5207,0.798,60.378,1.203,81.606,5.466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,B¾Æ¸óµå»§(40g),40,163.2,2.264,8.284,19.86,0.36,20.8,0.296,82.8,57.2,20.4,58.9,0.0236,0.0572,0,0,866.284,244.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,B¹Ù°ÔÆ®(15g),15,41.85,1.41,0.195,8.625,0.405,2.4,0.135,93,0,0,0,0.012,0.0075,0,0,90,4.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,B°¨ÀÚ»§(40g),40,122.8,2.4,7.28,11.88,0,10,0.44,138.4,1.6,110,10.76666667,0.024,0.048,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,B´ÜÆÏ»§(40g),40,101.2,3.028,1.268,19.404,2.52,10,0.396,72,10.4,5.2,10.83333333,0.018,0.0388,0,0,156.112,28.224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,B·Ñ»§(40g),40,126.4,4.04,3.6,19.44,0.8,17.6,0.28,196,0,6,0.5,0.04,0.024,0,0.04,440,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,B¸ð´×»§(40g),40,126.4,3.624,1.964,23.596,0.84,13.2,0.272,104,2,6.4,2.533333333,0,0.0532,0,0,346.256,26.392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,B»÷µåÀ§Ä¡(40g),40,85.6,3.464,4.152,8.62,2.2,31.2,0.224,212.8,9.6,60,14.6,0.1492,0.0412,2.924,0,759.656,109.784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
